千歳駅(往路),7:55,8:05,8:10,8:25,8:30,9:13,9:58,10:15,10:18,11:13,11:58,12:30,12:45,14:33,16:13
南千歳駅(往路),8:02,8:12,8:17,8:30,8:32,8:32,8:35,8:37,8:40,9:20,9:55,10:05,10:20,10:22,10:25,11:20,12:05,12:37,12:48,12:52,14:05,14:40,16:20
研究実験棟(往路),8:10,8:20,8:25,8:38,8:40,8:43,8:45,8:48,9:28,10:03,10:13,10:28,10:30,10:33,11:28,12:13,12:45,12:56,13:00,14:13,14:48,16:28
本部棟(往路),8:12,8:22,8:27,8:40,8:42,8:45,8:47,8:50,9:30,10:05,10:15,10:30,10:32,10:35,11:30,12:15,12:47,12:58,13:02,14:15,14:50,16:30
本部棟(復路),10:45,12:20,13:00,13:45,14:50,14:55,15:45,16:35,16:45,16:50,17:20,17:40,18:00,18:20,18:40,19:20,19:40,20:20,21:05
研究実験棟(復路),10:47,12:22,13:02,13:47,14:52,14:57,15:47,16:37,16:47,16:52,17:22,17:42,18:02,18:22,18:42,19:22,19:42,20:22,21:07,21:40
南千歳駅（復路）,10:55,12:30,13:10,13:55,15:00,15:05,15:55,16:45,16:55,17:00,17:30,17:50,18:10,18:30,18:50,19:30,19:50,20:30,21:15,21:48
千歳駅（復路）,11:02,12:37,13:17,14:02,15:07,15:12,16:02,16:52,17:02,17:07,17:37,17:57,18:17,18:37,18:57,19:37,19:57,20:37,21:22,21:55
